155,"jmccay2",1,2002-05-10 10:58:07.233000000
156,"jmccay2",1,2002-05-12 21:28:11.217000000
157,"jmccay2",1,2002-05-12 21:35:54.077000000
158,"jmccay2",1,2002-05-12 23:02:18.293000000
159,"jenmac",1,2002-05-13 09:58:03.670000000
160,"david",1,2002-05-13 11:27:41.187000000
161,"david",1,2002-05-13 13:38:16.420000000
162,"jmccay2",1,2002-05-13 15:33:44.733000000
163,"david",1,2002-05-13 16:25:45.450000000
164,"david",1,2002-05-13 20:35:30.590000000
165,"jmccay2",1,2002-05-14 01:18:00.403000000
166,"jenmac",1,2002-05-14 13:06:30.590000000
167,"jenmac",1,2002-05-14 13:06:49.263000000
168,"jmccay2",1,2002-05-14 15:09:10.920000000
169,"jmccay2",1,2002-05-14 16:49:58.373000000
170,"jmccay2",1,2002-05-14 17:36:59.497000000
171,"jmccay2",1,2002-05-14 18:05:26.733000000
172,"jmccay2",1,2002-05-14 18:42:56.513000000
173,"jmccay2",1,2002-05-14 19:09:28.500000000
174,"jmccay2",1,2002-05-14 19:15:02.623000000
175,"jmccay2",1,2002-05-14 19:17:24.200000000
176,"jmccay2",1,2002-05-14 20:00:12.247000000
177,"jmccay2",1,2002-05-15 15:23:02.763000000
178,"jmccay2",1,2002-05-15 15:25:14.717000000
179,"jim",1,2002-05-15 15:28:47.060000000
180,"jim",1,2002-05-17 09:26:30.670000000
181,"dbrackin",0,2002-05-19 13:49:42.170000000
182,"david",1,2002-05-19 13:49:47.123000000
183,"david",0,2002-05-19 13:57:04.013000000
184,"david39",0,2002-05-19 13:57:25.107000000
185,"jmccay2",1,2002-05-19 20:35:55.217000000
186,"jmccay2",1,2002-05-19 23:59:31.763000000
187,"jmccay2",1,2002-05-20 09:45:29.607000000
188,"jim",1,2002-05-20 10:31:15.670000000
189,"jim",1,2002-05-20 10:55:07.247000000
190,"jmccay2",1,2002-05-20 23:59:45.233000000
191,"jmccay2",1,2002-05-21 15:07:32.560000000
192,"jmccay2",1,2002-05-21 21:35:11.873000000
193,"jmccay2",1,2002-05-22 21:06:35.623000000
194,"jmccay2",1,2002-05-22 21:40:12.653000000
195,"jmccay2",1,2002-05-22 21:46:21.543000000
196,"jmccay2",1,2002-05-22 23:23:31.043000000
197,"jmccay2",1,2002-05-23 00:04:18.153000000
198,"jmccay2",1,2002-05-23 00:16:38.513000000
199,"jmccay2",1,2002-05-23 01:17:31.640000000
200,"jmccay2",1,2002-05-23 01:39:56.280000000
201,"dbrackin",0,2002-05-23 21:33:40.590000000
202,"david",1,2002-05-23 21:33:46.013000000
203,"jim",1,2002-05-24 08:56:40.793000000
204,"jim",1,2002-05-24 10:08:59.483000000
205,"jim",1,2002-05-24 10:15:49.200000000
206,"pmac",0,2002-05-26 22:25:48.983000000
207,"david",1,2002-05-27 12:28:28.750000000
208,"jmccay2",1,2002-05-27 20:32:02.920000000
209,"pmac",0,2002-05-27 22:25:26.310000000
210,"jmccay2",1,2002-05-28 00:29:07.250000000
211,"david",1,2002-05-28 08:35:24.153000000
212,"david",1,2002-05-28 08:38:20.750000000
213,"jmccay2",1,2002-05-28 09:04:11.937000000
214,"david",1,2002-05-28 15:38:45.500000000
215,"jmccay2",1,2002-05-28 15:52:32.920000000
216,"jmccay2",1,2002-05-28 15:54:35.373000000
217,"david",1,2002-05-28 16:13:14.780000000
218,"jim",1,2002-05-28 17:18:59.390000000
219,"jmccay2",1,2002-05-29 00:35:46.560000000
220,"jimc",0,2002-05-29 12:00:09.390000000
221,"jim",0,2002-05-29 12:58:16.250000000
222,"jimc",0,2002-05-29 12:58:23.827000000
223,"david",1,2002-05-29 15:22:27.187000000
224,"jmccay2",1,2002-05-31 16:33:04.530000000
